"Year","Type","Value"
1969,"Oil Revenues",5119
1970,"Oil Revenues",7122
1971,"Oil Revenues",9685
1972,"Oil Revenues",13480
1973,"Oil Revenues",39285
1974,"Oil Revenues",94190
1975,"Oil Revenues",93481
1976,"Oil Revenues",121191
1977,"Oil Revenues",114042
1978,"Oil Revenues",115078
1979,"Oil Revenues",189295
1980,"Oil Revenues",319305
1981,"Oil Revenues",328594
1982,"Oil Revenues",186006
1983,"Oil Revenues",145123
1984,"Oil Revenues",121348
1985,"Oil Revenues",88425
1986,"Oil Revenues",42464
1987,"Oil Revenues",67405
1988,"Oil Revenues",48400
1989,"Oil Revenues",75900
1990,"Oil Revenues",0
1991,"Oil Revenues",246297
1992,"Oil Revenues",128790
1993,"Oil Revenues",105976
1994,"Oil Revenues",95505
1995,"Oil Revenues",105728
1996,"Oil Revenues",135982
1997,"Oil Revenues",159985
1998,"Oil Revenues",79998
1999,"Oil Revenues",104447
2000,"Oil Revenues",214424
2001,"Oil Revenues",183915
2002,"Oil Revenues",166100
2003,"Oil Revenues",231000
2004,"Oil Revenues",330000
2005,"Oil Revenues",504540
2006,"Oil Revenues",604470
2007,"Oil Revenues",562186
2008,"Oil Revenues",983369
2009,"Oil Revenues",434420
2010,"Oil Revenues",670235
2011,"Oil Revenues",1034362
2012,"Oil Revenues",1144818
2013,"Oil Revenues",1035048
2014,"Oil Revenues",913347
2015,"Oil Revenues",446432
2016,"Oil Revenues",333699
2017,"Oil Revenues",435900
2018,"Oil Revenues",611239
2019,"Oil Revenues",594424
2020,"Oil Revenues",413049
2021,"Oil Revenues",562191
2022,"Oil Revenues",857272
2023,"Oil Revenues",754561.766128312
2024,"Oil Revenues",756623.945227635
2025,"Oil Revenues",606544
1969,"Non-Oil Revenues",549
1970,"Non-Oil Revenues",818
1971,"Non-Oil Revenues",1435
1972,"Non-Oil Revenues",1888
1973,"Non-Oil Revenues",2420
1974,"Non-Oil Revenues",5913
1975,"Non-Oil Revenues",9903
1976,"Non-Oil Revenues",14766
1977,"Non-Oil Revenues",16617
1978,"Non-Oil Revenues",16427
1979,"Non-Oil Revenues",21901
1980,"Non-Oil Revenues",28795
1981,"Non-Oil Revenues",39412
1982,"Non-Oil Revenues",60176
1983,"Non-Oil Revenues",61296
1984,"Non-Oil Revenues",50161
1985,"Non-Oil Revenues",45140
