"Year","Economic Activity Section","Flow","Value"
2019,"Mining and quarrying","Expenses",65738261888.93354
2020,"Mining and quarrying","Expenses",55736894364.73954
2021,"Mining and quarrying","Expenses",65932153166.72886
2022,"Mining and quarrying","Expenses",108736331802.56226
2023,"Mining and quarrying","Expenses",102304412655.99005
2024,"Mining and quarrying","Expenses",126336000141.7794
2019,"Mining and quarrying","Revenues",891143229656.2446
2020,"Mining and quarrying","Revenues",572942145599.5717
2021,"Mining and quarrying","Revenues",909048485263.0472
2022,"Mining and quarrying","Revenues",1481181508208.2585
2023,"Mining and quarrying","Revenues",1152759566624.1047
2024,"Mining and quarrying","Revenues",1057520837694.6383
2019,"Manufacturing","Expenses",600453111520.5583
2020,"Manufacturing","Expenses",512990282754.0096
2021,"Manufacturing","Expenses",622775622576.3638
2022,"Manufacturing","Expenses",819095837912.4706
2023,"Manufacturing","Expenses",898686679034.8241
2024,"Manufacturing","Expenses",983917489156.1117
2019,"Manufacturing","Revenues",990911757876.2449
2020,"Manufacturing","Revenues",871760698667.6055
2021,"Manufacturing","Revenues",1103730023020.818
2022,"Manufacturing","Revenues",1416836353021.204
2023,"Manufacturing","Revenues",1587201355124.4246
2024,"Manufacturing","Revenues",1702927089177.4868
2019,"Electricity, gas, steam and air conditioning supply","Expenses",42197186744.950676
2020,"Electricity, gas, steam and air conditioning supply","Expenses",44108310698.02856
2021,"Electricity, gas, steam and air conditioning supply","Expenses",48702327854.266754
2022,"Electricity, gas, steam and air conditioning supply","Expenses",49753571343.133804
2023,"Electricity, gas, steam and air conditioning supply","Expenses",37684490876.22267
2024,"Electricity, gas, steam and air conditioning supply","Expenses",46884819206.58132
2019,"Electricity, gas, steam and air conditioning supply","Revenues",80151573687.41731
2020,"Electricity, gas, steam and air conditioning supply","Revenues",80334799334.84793
2021,"Electricity, gas, steam and air conditioning supply","Revenues",87355507888.55074
2022,"Electricity, gas, steam and air conditioning supply","Revenues",89904834383.54024
2023,"Electricity, gas, steam and air conditioning supply","Revenues",92842707429.16864
2024,"Electricity, gas, steam and air conditioning supply","Revenues",107586482367.4402
2019,"Water supply sewerage, waste management and remediation activities","Expenses",5179823541.630313
2020,"Water supply sewerage, waste management and remediation activities","Expenses",5308264326.717599
2021,"Water supply sewerage, waste management and remediation activities","Expenses",5636124887.342104
2022,"Water supply sewerage, waste management and remediation activities","Expenses",5723126355.997622
2023,"Water supply sewerage, waste management and remediation activities","Expenses",17642455399.915607
2024,"Water supply sewerage, waste management and remediation activities","Expenses",18694865341.955463
2019,"Water supply sewerage, waste management and remediation activities","Revenues",14670068980.235949
2020,"Water supply sewerage, waste management and remediation activities","Revenues",13787503278.579239
2021,"Water supply sewerage, waste management and remediation activities","Revenues",15152029400.047195
2022,"Water supply sewerage, waste management and remediation activities","Revenues",15839055371.12429
2023,"Water supply sewerage, waste management and remediation activities","Revenues",30934837517.513046
2024,"Water supply sewerage, waste management and remediation activities","Revenues",32619109795.701817
2019,"Construction","Expenses",138358187164.9661
2020,"Construction","Expenses",117530139064.83806
2021,"Construction","Expenses",145506244398.0475
2022,"Construction","Expenses",151225741080.5238
2023,"Construction","Expenses",165256180385.26474
2024,"Construction","Expenses",182978036454.8439
2019,"Construction","Revenues",312909510363.02637
2020,"Construction","Revenues",306630045633.3819
2021,"Construction","Revenues",330227820832.4718
2022,"Construction","Revenues",343426649275.8218
2023,"Construction","Revenues",429339195681.25037
2024,"Construction","Revenues",470614626373.7208
2019,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Expenses",429617970641.6204
2020,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Expenses",370076849289.77045
2021,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Expenses",457247086345.4501
2022,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Expenses",468891924472.81494
2023,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Expenses",482685641802.78375
2024,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Expenses",522117865880.6726
2019,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Revenues",689062235833.9701
2020,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Revenues",585011142501.8585
2021,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Revenues",719631493400.7523
2022,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Revenues",757182591659.4749
2023,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Revenues",846822657398.0685
2024,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Revenues",919040264652.936
2019,"Transportation and storage","Expenses",70399437432.65257
2020,"Transportation and storage","Expenses",57141545170.42953
2021,"Transportation and storage","Expenses",65346296996.375916
2022,"Transportation and storage","Expenses",66582470276.60092
2023,"Transportation and storage","Expenses",72635185924.5585
2024,"Transportation and storage","Expenses",76548071014.38014
2019,"Transportation and storage","Revenues",153751390018.1139
2020,"Transportation and storage","Revenues",119158461933.40013
2021,"Transportation and storage","Revenues",137223889844.97383
2022,"Transportation and storage","Revenues",142245565585.0717
2023,"Transportation and storage","Revenues",170030760120.97574
2024,"Transportation and storage","Revenues",178195852760.45258
2019,"Accommodation and food service activities","Expenses",62876290842.63725
2020,"Accommodation and food service activities","Expenses",43582207191.09318
2021,"Accommodation and food service activities","Expenses",64807532987.98402
2022,"Accommodation and food service activities","Expenses",66623636282.25675
2023,"Accommodation and food service activities","Expenses",68415339114.380615
2024,"Accommodation and food service activities","Expenses",73011400232.85503
2019,"Accommodation and food service activities","Revenues",116063721498.48376
2020,"Accommodation and food service activities","Revenues",80371212384.83842
2021,"Accommodation and food service activities","Revenues",121437878984.7677
2022,"Accommodation and food service activities","Revenues",126677636740.22932
2023,"Accommodation and food service activities","Revenues",159520236120.87823
2024,"Accommodation and food service activities","Revenues",168310381671.87393
2019,"Information and communication","Expenses",75957057186.93951
2020,"Information and communication","Expenses",80177890297.18626
2021,"Information and communication","Expenses",85241245845.49242
2022,"Information and communication","Expenses",87039534228.63626
2023,"Information and communication","Expenses",109556295494.75092
2024,"Information and communication","Expenses",116307352775.97871
2019,"Information and communication","Revenues",177136041396.2566
2020,"Information and communication","Revenues",178628316673.74713
2021,"Information and communication","Revenues",181714249798.76697
2022,"Information and communication","Revenues",188494887761.53506
2023,"Information and communication","Revenues",226702683341.36838
2024,"Information and communication","Revenues",239400369257.5601
2019,"Financial and insurance activities","Expenses",59091193133.44912
